sketch_id,drawing_category,age,n
1-005.png,Tree,4,11
1-006.png,Watch,4,12
1-007.png,Airplane,4,11
1-008.png,Chair,4,11
1-009.png,House,4,11
1-010.png,Rabbit,4,11
1-011.png,Car,4,11
1-012.png,Cat,4,11
1-013.png,Bicycle,4,11
1-014.png,Bird,4,12
1-015.png,Cup,4,11
1-016.png,Hat,4,12
10-005.png,Cup,4,11
10-006.png,Car,4,11
10-007.png,Bicycle,4,12
10-008.png,Cat,4,12
10-009.png,House,4,10
10-010.png,Rabbit,4,12
10-011.png,Tree,4,12
10-012.png,Watch,4,11
10-013.png,Airplane,4,12
10-014.png,Bird,4,12
10-015.png,Hat,4,11
10-016.png,Chair,4,11
100-005.png,Rabbit,8,11
100-006.png,House,8,11
100-007.png,Hat,8,11
100-008.png,Cup,8,11
100-009.png,Chair,8,11
100-010.png,Bicycle,8,12
100-011.png,Cat,8,11
100-012.png,Car,8,12
100-013.png,Tree,8,11
100-014.png,Airplane,8,11
100-015.png,Bird,8,13
100-016.png,Watch,8,11
101-005.png,House,9,11
101-006.png,Rabbit,9,11
101-007.png,Tree,9,11
101-008.png,Hat,9,12
101-009.png,Chair,9,11
101-010.png,Cup,9,11
101-011.png,Cat,9,11
101-012.png,Bird,9,11
101-013.png,Car,9,11
101-014.png,Airplane,9,11
101-015.png,Watch,9,12
101-016.png,Bicycle,9,12
102-005.png,Rabbit,9,15
102-006.png,House,9,11
102-007.png,Hat,9,12
102-008.png,Cup,9,11
102-009.png,Watch,9,11
102-010.png,Chair,9,11
102-011.png,Car,9,11
102-012.png,Cat,9,11
102-013.png,Bird,9,11
102-014.png,Tree,9,12
102-015.png,Bicycle,9,11
102-016.png,Airplane,9,13
103-005.png,Airplane,9,11
103-006.png,Cup,9,11
103-007.png,Tree,9,11
103-008.png,Rabbit,9,11
103-009.png,Hat,9,12
103-010.png,House,9,12
103-011.png,Cat,9,11
103-012.png,Watch,9,12
103-013.png,Chair,9,13
103-014.png,Bicycle,9,11
103-015.png,Bird,9,11
103-016.png,Car,9,13
104-005.png,Watch,9,12
104-006.png,Airplane,9,13
104-007.png,Tree,9,11
104-008.png,Cup,9,13
104-009.png,Chair,9,11
104-010.png,Hat,9,13
104-011.png,House,9,10
104-012.png,Rabbit,9,12
104-013.png,Cat,9,10
104-014.png,Car,9,11
104-015.png,Bird,9,12
104-016.png,Bicycle,9,14
105-005.png,Watch,9,10
105-006.png,Bicycle,9,12
105-007.png,Bird,9,15
105-008.png,Car,9,13
105-009.png,Airplane,9,14
105-010.png,Cat,9,11
105-011.png,Cup,9,16
105-012.png,Rabbit,9,10
105-013.png,Tree,9,14
105-014.png,Chair,9,13
105-015.png,Hat,9,13
105-016.png,House,9,13
106-005.png,Cat,9,12
106-006.png,Watch,9,12
106-007.png,Chair,9,10
106-008.png,Airplane,9,14
106-009.png,Bicycle,9,11
106-010.png,Cup,9,11
106-011.png,Hat,9,13
106-012.png,Tree,9,10
106-013.png,House,9,11
106-014.png,Rabbit,9,12
106-015.png,Bird,9,16
106-016.png,Car,9,11
107-005.png,Rabbit,9,12
107-006.png,House,9,12
107-007.png,Hat,9,10
107-008.png,Cup,9,12
107-009.png,Car,9,11
107-010.png,Tree,9,12
107-011.png,Watch,9,10
107-012.png,Airplane,9,11
107-013.png,Cat,9,13
107-014.png,Chair,9,10
107-015.png,Bicycle,9,12
107-016.png,Bird,9,12
108-005.png,Cup,9,11
108-006.png,Hat,9,13
108-007.png,Chair,9,14
108-008.png,House,9,11
108-009.png,Rabbit,9,14
108-010.png,Watch,9,11
108-011.png,Bird,9,10
108-012.png,Tree,9,11
108-013.png,Car,9,12
108-014.png,Airplane,9,12
108-015.png,Cat,9,13
108-016.png,Bicycle,9,11
109-005.png,Cat,9,12
109-006.png,Watch,9,13
109-007.png,Cup,9,11
109-008.png,Rabbit,9,11
109-009.png,Tree,9,11
109-010.png,Chair,9,12
109-011.png,Hat,9,11
109-012.png,House,9,11
109-013.png,Bird,9,13
109-014.png,Car,9,11
109-015.png,Airplane,9,10
109-016.png,Bicycle,9,10
11-005.png,Hat,4,14
11-006.png,Rabbit,4,11
11-007.png,Tree,4,12
11-008.png,Cat,4,11
11-009.png,Bicycle,4,12
11-010.png,Airplane,4,11
11-011.png,Bird,4,12
11-012.png,Car,4,11
11-013.png,Chair,4,10
11-014.png,Cup,4,11
11-015.png,House,4,12
11-016.png,Watch,4,11
110-005.png,Watch,9,10
110-006.png,Bicycle,9,11
110-007.png,Bird,9,10
110-008.png,Rabbit,9,11
110-009.png,Tree,9,13
110-010.png,Car,9,14
110-011.png,Cat,9,12
110-012.png,Chair,9,11
110-013.png,Cup,9,12
110-014.png,Airplane,9,11
110-015.png,Hat,9,13
110-016.png,House,9,11
111-005.png,Chair,9,12
111-006.png,Cup,9,10
111-007.png,Bird,9,11
111-008.png,Tree,9,12
111-009.png,Airplane,9,10
111-010.png,Bicycle,9,14
111-011.png,Rabbit,9,11
111-012.png,Car,9,12
111-013.png,Hat,9,11
111-014.png,House,9,11
111-015.png,Watch,9,12
111-016.png,Cat,9,12
112-005.png,Tree,9,13
112-006.png,Rabbit,9,11
112-007.png,House,9,12
112-008.png,Chair,9,11
112-009.png,Cup,9,12
112-010.png,Bicycle,9,10
112-011.png,Bird,9,11
112-012.png,Watch,9,12
112-013.png,Car,9,11
112-014.png,Hat,9,11
112-015.png,Airplane,9,11
112-016.png,Cat,9,11
113-005.png,Watch,9,12
113-006.png,Cat,9,11
113-007.png,House,9,11
113-008.png,Hat,9,12
113-009.png,Rabbit,9,11
113-010.png,Tree,9,12
113-011.png,Bicycle,9,11
113-012.png,Chair,9,12
113-013.png,Cup,9,10
113-014.png,Airplane,9,11
113-015.png,Car,9,11
113-016.png,Bird,9,10
114-005.png,Tree,9,10
114-006.png,Rabbit,9,11
114-007.png,House,9,12
114-008.png,Cup,9,10
114-009.png,Watch,9,10
114-010.png,Chair,9,11
114-011.png,Airplane,9,13
114-012.png,Car,9,11
114-013.png,Cat,9,12
114-014.png,Bicycle,9,10
114-015.png,Bird,9,11
114-016.png,Hat,9,12
115-005.png,Airplane,9,10
115-006.png,Bird,9,10
115-007.png,Cup,9,12
115-008.png,Bicycle,9,12
115-009.png,Hat,9,10
115-010.png,House,9,12
115-011.png,Watch,9,11
115-012.png,Cat,9,10
115-013.png,Chair,9,11
115-014.png,Rabbit,9,11
115-015.png,Car,9,11
115-016.png,Tree,9,10
116-005.png,Bicycle,9,11
116-006.png,Tree,9,11
116-007.png,Watch,9,11
116-008.png,Cup,9,11
116-009.png,Hat,9,10
116-010.png,Bird,9,12
116-011.png,Car,9,10
116-012.png,Cat,9,11
116-013.png,Chair,9,10
116-014.png,Airplane,9,11
116-015.png,House,9,11
116-016.png,Rabbit,9,11
117-005.png,Rabbit,9,11
117-006.png,Cup,9,10
117-007.png,Watch,9,12
117-008.png,Car,9,10
117-009.png,Cat,9,10
