Run,Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
1,688a4d7390f8e8708fb92aa3,67eb05609784671d4a2cf76c,APPROVED,Not Applicable,2025-07-30T16:51:49.198000Z,2025-07-30T17:10:04.507000Z,2025-07-30T17:10:06.450000Z,2025-07-30T17:10:04.959629Z,1096,C18GSJ0Y,721,English,32,Female,White,United States,United States,United States,English,No,Full-Time
1,688a51ec2946b7fb382eda28,67e85abca44b52f2e03fcbb1,APPROVED,Not Applicable,2025-07-30T17:12:26.624000Z,2025-07-30T17:34:18.649000Z,2025-07-30T17:34:19.221000Z,2025-07-30T17:34:19.111618Z,1313,C18GSJ0Y,357,English,47,Male,Black,United States,United States,United States,English,No,Full-Time
1,688a579bdbdc80c66511e742,67574d2fa6c77a56709e95a8,APPROVED,Not Applicable,2025-07-30T17:34:19.345000Z,2025-07-30T18:06:06.144000Z,2025-07-30T18:06:09.511000Z,2025-07-30T18:06:06.631578Z,1907,C18GSJ0Y,700,English,38,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,688a5f0fa484a2831611c87b,673cbbb6e625ce8a7e323089,APPROVED,Not Applicable,2025-07-30T18:06:07.136000Z,2025-07-30T18:28:57.556000Z,2025-07-30T18:28:58.354000Z,2025-07-30T18:28:58.001650Z,1371,C18GSJ0Y,779,English,49,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,688a646ee29860442584e8c9,673ead8d8389b11c02a060e9,APPROVED,Not Applicable,2025-07-30T18:29:07.845000Z,2025-07-30T18:33:35.363000Z,2025-07-31T04:34:19.678000Z,2025-07-30T18:33:35.797630Z,268,C18GSJ0Y,1685,"English, Japanese",26,Male,Asian,United States,United States,United States,Japanese,DATA_EXPIRED,DATA_EXPIRED
1,688a6581694a767fb4f00030,67ed8a9ef13251ff7c8b66a8,APPROVED,Not Applicable,2025-07-30T18:34:29.704000Z,2025-07-30T18:52:21.917000Z,2025-07-30T18:52:24.090000Z,2025-07-30T18:52:22.391075Z,1073,C18GSJ0Y,694,English,18,Female,White,United States,United States,United States,Scots,DATA_EXPIRED,Full-Time
1,688a69ebc44d303d17f302ec,67cfeddb9f4b04d789ca82bd,APPROVED,Not Applicable,2025-07-30T18:52:27.919000Z,2025-07-30T19:12:05.610000Z,2025-07-30T19:12:06.243000Z,2025-07-30T19:12:06.107619Z,1178,C18GSJ0Y,312,English,28,Male,White,United States,United States,United States,English,No,Full-Time
1,688a6e862c44fe9b411b7e41,6722b6b9cb69415ce7f4c688,APPROVED,Not Applicable,2025-07-30T19:12:06.653000Z,2025-07-30T19:42:19.213000Z,2025-07-30T19:42:23.248000Z,2025-07-30T19:42:19.649057Z,1813,C18GSJ0Y,1254,"English, Hindi, Italian, Spanish",42,Male,White,Spain,United States,United States,Spanish,No,Full-Time
1,688a759be077f60f9bf20551,67e065974c85fbeb5f9f43be,APPROVED,Not Applicable,2025-07-30T19:42:19.754000Z,2025-07-30T20:00:00.711000Z,2025-07-30T20:00:10.641000Z,2025-07-30T20:00:06.668924Z,1061,C18GSJ0Y,748,English,35,Male,White,United States,United States,United States,English,Yes,Full-Time
1,688a79c7ac178b1bd75c5186,60fdd5214fe9e80b975361bd,APPROVED,Not Applicable,2025-07-30T20:00:09.379000Z,2025-07-30T20:04:40.006000Z,2025-07-31T04:34:19.906000Z,2025-07-30T20:04:40.493249Z,271,C18GSJ0Y,542,English,35,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,688a7ad89dd2b70b91009576,604bd44cb5668ba12cc9376e,APPROVED,Not Applicable,2025-07-30T20:04:53.308000Z,2025-07-30T20:14:01.139000Z,2025-07-30T20:14:02.419000Z,2025-07-30T20:14:02.226450Z,548,C18GSJ0Y,7280,English,76,Female,White,United States,United States,United States,English,No,Full-Time
1,688a7d0acf25297ed9d03481,5dc3552003f8562725a1b956,APPROVED,Not Applicable,2025-07-30T20:14:02.289000Z,2025-07-30T20:31:25.099000Z,2025-07-30T20:31:28.015000Z,2025-07-30T20:31:25.523352Z,1043,C18GSJ0Y,4799,English,37,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,688a8122426b1c301d93fc20,67f9b647dcd4755a0f10984c,APPROVED,Not Applicable,2025-07-30T20:31:34.158000Z,2025-07-30T20:35:34.782000Z,2025-07-31T04:34:20.207000Z,2025-07-30T20:35:35.225718Z,241,C18GSJ0Y,806,English,51,Female,White,United States,United States,United States,English,No,Part-Time
1,688a82175ea1ac2e8ccf3203,670d8b142f87173ffe3b4763,APPROVED,Not Applicable,2025-07-30T20:40:53.719000Z,2025-07-30T21:19:31.382000Z,2025-07-30T21:19:32.452000Z,2025-07-30T21:19:32.072377Z,2318,C18GSJ0Y,1395,English,37,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,688a8c69b819a265f0c428d7,654f89366d18132f256b529d,APPROVED,Not Applicable,2025-07-30T21:19:40.740000Z,2025-07-30T21:28:18.919000Z,2025-07-30T21:28:20.387000Z,2025-07-30T21:28:19.382899Z,519,C18GSJ0Y,1519,English,35,Female,White,United States,United States,United States,English,No,Full-Time
1,688a8e78f8314a59bc108389,5753046ba6deb50006d64b0f,APPROVED,Not Applicable,2025-07-30T21:29:27.141000Z,2025-07-30T21:35:26.223000Z,2025-07-30T21:35:26.814000Z,2025-07-30T21:35:26.704526Z,360,C18GSJ0Y,3153,English,58,Male,White,United States,United States,United States,English,No,Part-Time
1,688a901e1e31cce3debc6761,662942069e781c3f1a1355c4,APPROVED,Not Applicable,2025-07-30T21:35:26.432000Z,2025-07-30T21:41:43.075000Z,2025-07-30T21:41:43.674000Z,2025-07-30T21:41:43.553617Z,377,C18GSJ0Y,2822,English,50,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
